Candidate,Party,Vote Percentage,State,District,Incumbent,Winner,Money Raised,Money Spent
Frank Mrvan,D,56.6,Indiana,1,False,True,"578,635","464,407"
Mark Leyva,R,40.4,Indiana,1,False,False,"16,551","15,343"
Jackie Walorski,R,61.5,Indiana,2,True,True,"2,383,467","1,698,202"
Pat Hackett,D,38.5,Indiana,2,False,False,"881,888","867,301"
Jim Banks,R,67.8,Indiana,3,True,True,"1,202,509","769,591"
Chip Coldiron,D,32.2,Indiana,3,False,False,"94,056","89,883"
Jim Baird,R,66.6,Indiana,4,True,True,"327,727","190,158"
Joe Mackey,D,33.4,Indiana,4,False,False,"44,585","43,213"
Christina Hale,D,45.9,Indiana,5,False,False,"4,010,368","3,998,905"
Victoria Spartz,R,50.0,Indiana,5,False,True,"3,119,328","3,010,203"
Greg Pence,R,68.7,Indiana,6,True,True,"3,114,448","2,804,148"
Jeannine Lee,D,27.7,Indiana,6,False,False,"143,089","145,315"
Andre Carson,D,62.4,Indiana,7,True,True,"1,011,635","873,962"
Susan Marie,R,37.6,Indiana,7,False,False,"62,905","59,843"
Larry Bucshon,R,66.9,Indiana,8,True,True,"1,051,336","1,078,646"
Thomasina Marsili,D,29.8,Indiana,8,False,False,"68,734","68,480"
Trey Hollingsworth,R,60.9,Indiana,9,True,True,"1,166,754","501,136"
Andy Ruff,D,34.8,Indiana,9,False,False,"148,263","134,906"
Tonya Millis,L,4.3,Indiana,9,False,False,"10,224","10,041"
Joni Ernst,R,51.8,Iowa,2020,True,True,"30,345,910","29,945,779"
Theresa Greenfield,D,45.2,Iowa,2020,False,False,"55,592,603","55,562,367"
Suzanne Herzog,I,0.8,Iowa,2020,False,False,"18,300","18,300"
Rick Stewart,L,2.2,Iowa,2020,False,False,"8,820","16,093"
Abby Finkenauer,D,48.7,Iowa,1,True,False,"5,901,441","5,875,405"
Ashley Hinson,R,51.3,Iowa,1,False,True,"5,175,883","5,059,211"
Rita Hart,D,50.0,Iowa,2,False,False,"4,232,992","4,114,400"
Mariannette Miller-Meeks,R,50.0,Iowa,2,False,True,"2,174,194","1,721,926"
Cindy Axne,D,49.0,Iowa,3,True,True,"6,236,976","6,236,994"
David Young,R,47.6,Iowa,3,False,False,"3,170,072","3,094,582"
J.D. Scholten,D,62.1,Iowa,4,False,False,"2,885,915","2,902,003"
Randy Feenstra,R,37.9,Iowa,4,False,True,"1,906,234","1,894,288"
Barbara Bollier,D,41.6,Kansas,2020,False,False,"28,662,913","28,499,933"
Roger Marshall,R,53.5,Kansas,2020,False,True,"6,609,476","7,007,803"
Tracey Mann,R,71.4,Kansas,1,False,True,"1,403,353","1,127,156"
Kali Barnett,D,28.6,Kansas,1,False,False,"603,036","592,924"
Michelle De,D,40.5,Kansas,2,False,False,"1,825,085","1,810,968"
Jake Laturner,R,55.3,Kansas,2,False,True,"1,593,407","1,578,460"
