,Candidate,Party,Vote Percentage,State,District,Incumbent,Winner,Money Raised,Money Spent
119,Linda Sanchez,D,74.3,California,38,True,True,"1,246,008","1,140,165"
120,Gil Cisneros,D,49.4,California,39,True,False,"4,370,133","4,350,464"
121,Young Kim,R,50.6,California,39,False,True,"6,424,556","6,021,651"
122,Lucille Roybal-Allard,D,72.7,California,40,True,True,"739,790","741,379"
123,Antonio Delgado,R,27.3,California,40,False,False,"85,014","79,270"
124,Mark Takano,D,64.0,California,41,True,True,"1,020,456","949,494"
125,Aja Smith,R,36.0,California,41,False,False,"660,658","659,909"
126,Ken Calvert,R,57.1,California,42,True,True,"1,441,812","1,549,113"
127,Liam O'Mara,D,42.9,California,42,False,False,"130,065","128,782"
128,Maxine Waters,D,71.7,California,43,True,True,"1,836,660","1,906,957"
129,Joe Collins,R,28.3,California,43,False,False,"10,556,626","9,921,103"
130,Nanette Barragan,D,67.8,California,44,True,True,"1,173,909","714,023"
131,Katie Porter,D,53.5,California,45,True,True,"16,627,706","6,443,700"
132,Greg Raths,R,46.5,California,45,False,False,"1,245,767","1,241,713"
133,Lou Correa,D,68.8,California,46,True,True,"1,192,715","650,707"
134,Alan Lowenthal,D,63.3,California,47,True,True,"678,648","854,902"
135,John Briscoe,R,36.7,California,47,False,False,"25,302","21,538"
136,Harley Rouda,D,48.9,California,48,True,False,"5,968,858","6,174,443"
137,Michelle Steel,R,51.1,California,48,False,True,"6,305,665","6,148,591"
138,Mike Levin,D,53.1,California,49,True,True,"3,845,768","2,901,566"
139,Brian Maryott,R,46.9,California,49,False,False,"2,810,253","2,808,217"
140,Darrell Issa,R,54.0,California,50,False,True,"11,239,670","10,947,106"
141,Ammar Campa-Najjar,D,46.0,California,50,False,False,"6,248,210","6,247,762"
142,Juan Vargas,D,68.3,California,51,True,True,"799,734","801,671"
143,Juan Hidalgo,R,31.7,California,51,False,False,"83,730","81,182"
144,Scott Peters,D,61.6,California,52,True,True,"1,911,791","2,131,849"
145,James Debello,R,38.4,California,52,False,False,"233,464","224,630"
146,Sara Jacobs,D,59.5,California,53,False,True,"7,678,363","7,586,186"
147,Georgette Gomez,D,40.5,California,53,False,False,"1,691,794","1,663,252"
148,Cory Gardner,R,44.2,Colorado,2020,True,False,"28,075,081","27,302,790"
149,John Hickenlooper,D,53.5,Colorado,2020,False,True,"43,012,518","41,370,435"
150,Diana DeGette,D,73.7,Colorado,01,True,True,"1,201,026","1,077,130"
151,Joseph Neguse,D,61.5,Colorado,02,True,True,"1,353,325","674,602"
152,Charles Winn,R,35.4,Colorado,02,False,False,"98,338","98,338"
153,Alex Johnson,I,0,Colorado,02,False,False,"4,782","4,093"
154,Diane Mitsch,D,45.2,Colorado,03,False,False,"5,008,274","4,984,238"
155,Lauren Boebert,R,51.4,Colorado,03,False,True,"2,989,510","2,632,716"
156,Chris Milton,3,1.0,Colorado,03,False,False,"12,012","12,012"
157,Ken Buck,R,60.1,Colorado,04,True,True,"478,984","539,393"
158,Ike McCorkle,D,36.1,Colorado,04,False,False,"369,871","217,398"
159,Doug Lamborn,R,57.6,Colorado,05,True,True,"540,712","329,011"
160,Jillian Freeland,D,37.4,Colorado,05,False,False,"185,255","175,548"
161,Rebecca Keltie,3,0.8,Colorado,05,False,False,"2,552","1,495"
162,Jason Crow,D,57.1,Colorado,06,True,True,"4,136,137","2,892,443"
163,Steven House,R,40.0,Colorado,06,False,False,"1,200,056","1,198,044"
164,Jaimie Kulikowski,3,0.9,Colorado,06,False,False,"72,293","110,645"
165,Ed Perlmutter,D,59.1,Colorado,07,True,True,"1,632,262","1,339,482"
166,Casper Stockham,R,37.6,Colorado,07,False,False,"147,872","147,872"
167,Anthony Malgieri,I,0,Colorado,07,False,False,"1,930","1,958"
168,John Larson,D,63.7,Connecticut,01,True,True,"1,377,238","1,323,690"
169,Mary Fay,R,35.0,Connecticut,01,False,False,"26,836","25,118"
170,Joe Courtney,D,59.4,Connecticut,02,True,True,"964,731","999,360"
171,Justin Anderson,R,38.2,Connecticut,02,False,False,"80,227","78,767"
172,Rosa DeLauro,D,58.7,Connecticut,03,True,True,"1,938,999","1,795,635"
173,Margaret Streicker,R,39.8,Connecticut,03,False,False,"1,839,080","1,835,385"
174,Justin Paglino,3,1.5,Connecticut,03,False,False,"29,200","28,670"
175,Jim Himes,D,62.3,Connecticut,04,True,True,"1,612,935","2,180,029"
176,Jonathan Riddle,R,36.2,Connecticut,04,False,False,"31,591","17,385"
177,Jahana Hayes,D,55.1,Connecticut,05,True,True,"2,037,826","1,564,685"
178,David Sullivan,R,43.5,Connecticut,05,False,False,"397,395","397,370"
179,Chris Coons,D,59.4,Delaware,2020,True,True,"7,145,796","6,023,516"
180,Lauren Witzke,R,37.9,Delaware,2020,False,False,"468,650","465,316"
181,Lisa Blunt,D,57.6,Delaware,01,True,True,"2,024,201","1,305,618"
182,Lee Murphy,R,40.2,Delaware,01,False,False,"131,394","131,862"
183,Catherine Purcell,I,1.4,Delaware,01,False,False,"5,344","5,103"
184,Matt Gaetz,R,64.6,Florida,01,True,True,"5,946,646","4,482,782"
185,Phil Ehr,D,34.0,Florida,01,False,False,"2,025,099","1,900,451"
186,Bert Oram,I,1.4,Florida,01,False,False,"8,108","7,070"
187,Neal Dunn,R,98.0,Florida,02,True,True,"653,488","637,580"
188,Kristy Thripp,I,0,Florida,02,False,False,145,145
189,Kat Cammack,R,57.1,Florida,03,False,True,"1,122,188","1,090,334"
190,Adam Christensen,D,42.9,Florida,03,False,False,"216,021","219,108"
191,John Rutherford,R,61.1,Florida,04,True,True,"1,024,912","1,283,701"
192,Donna Deegan,D,38.9,Florida,04,False,False,"1,013,157","1,013,157"
193,Al Lawson,D,65.1,Florida,05,True,True,"848,498","695,779"
194,Gary Adler,R,34.9,Florida,05,False,False,"146,909","146,909"
195,Michael Waltz,R,60.6,Florida,06,True,True,"2,549,667","1,716,768"
196,Clint Curtis,D,39.4,Florida,06,False,False,"24,310","22,251"
197,Gerry Nolan,I,0,Florida,06,False,False,"4,467","5,256"
