,Candidate,Party,Vote Percentage,State,District,Incumbent,Winner,Money Raised,Money Spent
80,Claire Gustafson,R,37.5,New,District,False,False,"36,520","21,761"
81,Jeff Van,R,51.9,New,District,True,True,"4,229,171","4,041,493"
82,Amy Kennedy,D,46.2,New,District,False,False,"4,984,376","4,978,913"
83,Andy Kim,D,53.2,New,District,True,True,"7,241,283","6,753,262"
84,David Richter,R,45.5,New,District,False,False,"1,473,669","1,470,648"
85,Chris Smith,R,59.9,New,District,True,True,"1,383,085","1,284,522"
86,Stephanie Schmid,D,38.3,New,District,False,False,"699,580","658,011"
87,Josh Gottheimer,D,53.2,New,District,True,True,"7,694,027","3,487,964"
88,Frank Pallotta,R,45.6,New,District,False,False,"1,972,033","1,948,705"
89,Louis A.,I,1.2,New,District,False,False,"5,456","5,342"
90,Frank Pallone,D,61.2,New,District,True,True,"3,231,755","2,021,737"
91,Tom Malinowski,D,50.6,New,District,True,True,"7,414,403","7,423,758"
92,Tom Kean,R,49.4,New,District,False,False,"3,869,121","3,775,442"
93,Albio Sires,D,74.0,New,District,True,True,"605,810","551,325"
94,Bill Pascrell,D,65.8,New,District,True,True,"1,560,550","1,795,410"
95,Billy Prempeh,R,31.9,New,District,False,False,"44,269","35,075"
96,Donald M,D,83.3,New,District,True,True,"593,735","457,252"
97,Mikie Sherrill,D,53.3,New,District,True,True,"6,419,707","3,733,106"
98,Rosemary Becchi,R,46.7,New,District,False,False,"1,687,532","1,686,236"
99,Bonnie Watson,D,65.6,New,District,True,True,"798,439","840,651"
100,Mark Razzoli,R,32.6,New,District,False,False,"3,065","1,142"
101,Ben Ray,D,51.7,New,Senate,False,True,"9,083,639","9,385,025"
102,Mark Ronchetti,R,45.6,New,Senate,False,False,"3,936,338","3,925,526"
103,Bob Walsh,L,2.7,New,Senate,False,False,"8,326","6,895"
104,Debra Haaland,D,58.1,New,District,True,True,"2,246,734","1,875,766"
105,Michelle Garcia,R,41.9,New,District,False,False,"257,294","245,590"
106,Xochitl Torres,D,46.3,New,District,True,False,"8,387,337","8,539,065"
107,Yvette Herrell,R,53.7,New,District,False,True,"2,805,711","2,921,785"
108,Steve Jones,I,0,New,District,False,False,"9,405","9,505"
109,Teresa Leger,D,58.7,New,District,False,True,"2,296,594","2,132,010"
110,Alexis Johnson,R,41.3,New,District,False,False,"147,303","147,303"
111,Lee Zeldin,R,55.9,New,District,True,True,"8,396,981","8,250,116"
112,Nancy Goroff,D,44.1,New,District,False,False,"7,866,239","7,860,977"
113,Jackie Gordon,D,46.0,New,District,False,False,"4,351,881","4,334,484"
114,Andrew Garbarino,R,52.9,New,District,False,True,"1,743,986","1,612,132"
115,Harry Burger,3,1.0,New,District,False,False,"2,430",594
116,Tom Suozzi,D,53.2,New,District,True,True,"2,941,006","2,331,302"
117,George Santos,R,46.2,New,District,False,False,"658,883","591,239"
118,Joshua Sauberman,I,0,New,District,False,False,127,270
119,Kathleen Rice,D,52.0,New,District,True,True,"1,106,258","1,210,410"
120,Douglas Tuman,R,47.3,New,District,False,False,"134,937","130,995"
121,Ed Dennehy,I,0,New,District,False,False,"9,031","9,031"
122,Gregory Meeks,D,99.0,New,District,True,True,"2,097,572","1,467,454"
123,Amit Lal,I,0,New,District,False,False,126,0
124,Grace Meng,D,62.6,New,District,True,True,"1,292,084","1,872,311"
125,Thomas Zmich,R,37.4,New,District,False,False,"133,403","131,278"
126,Nydia Velazquez,D,83.0,New,District,True,True,"803,217","676,248"
127,Hakeem Jeffries,D,82.5,New,District,True,True,"4,168,717","3,293,077"
128,Yvette Clarke,D,81.5,New,District,True,True,"1,200,067","1,190,143"
129,Jerrold Nadler,D,68.5,New,District,True,True,"1,848,688","1,950,774"
130,Cathy Bernstein,R,30.1,New,District,False,False,"49,975","28,384"
131,Jeanne Nigro,I,1.2,New,District,False,False,"34,548","28,039"
132,Michael Madrid,L,0,New,District,False,False,"14,326","12,149"
133,Max Rose,D,42.0,New,District,True,False,"9,284,434","9,499,242"
134,Nicole Malliotakis,R,57.8,New,District,False,True,"3,469,995","3,447,052"
135,Kemi Akindude,I,0,New,District,False,False,"21,261","14,697"
136,Carolyn Maloney,D,78.9,New,District,True,True,"3,067,173","3,059,202"
137,Adriano Espaillat,D,86.0,New,District,True,True,"1,087,237","1,252,740"
138,Lovelynn Gwinn,R,8.0,New,District,False,False,"39,384","39,384"
139,Alexandria Ocasio-Cortez,D,68.7,New,District,True,True,"20,664,795","16,735,422"
140,John C.,R,30.5,New,District,False,False,"11,140,937","10,947,758"
141,Ritchie Torres,D,88.2,New,District,False,True,"2,194,025","1,804,336"
142,Jamaal Bowman,D,82.9,New,District,False,True,"2,878,898","2,801,424"
143,Mondaire Jones,D,54.1,New,District,False,True,"2,984,052","2,186,463"
144,Maureen McArdle,R,39.8,New,District,False,False,"54,732","60,084"
145,Michael Parietti,3,0.9,New,District,False,False,"44,787","19,670"
146,Sean Patrick,D,51.8,New,District,True,True,"2,556,294","1,718,525"
147,Chele Farley,R,47.3,New,District,False,False,"1,186,211","1,152,124"
148,Scott Smith,I,0.9,New,District,False,False,"8,718","8,403"
149,Antonio Delgado,D,51.5,New,District,True,True,"5,949,475","2,963,286"
150,Kyle Van,R,45.9,New,District,False,False,"153,796","120,097"
151,Paul Tonko,D,56.5,New,District,True,True,"1,541,984","1,418,994"
152,Elizabeth Joy,R,43.4,New,District,False,False,"370,852","336,845"
153,Elise Stefanik,R,64.4,New,District,True,True,"13,287,248","11,655,936"
154,Tedra Cobb,D,35.6,New,District,False,False,"5,586,793","5,593,266"
155,Anthony Brindisi,D,0,New,District,True,False,"6,020,190","5,772,429"
156,Claudia Tenney,R,0,New,District,False,False,"3,051,777","2,725,893"
157,Tom Reed,R,57.7,New,District,True,True,"3,275,177","3,145,027"
158,Tracy Mitrano,D,41.4,New,District,False,False,"1,450,322","1,466,128"
159,John Katko,R,53.1,New,District,True,True,"3,821,107","3,597,234"
160,Dana Balter,D,43.0,New,District,False,False,"3,212,469","3,230,808"
161,Joseph D,D,59.3,New,District,True,True,"1,375,366","1,274,426"
162,George Mitris,R,39.1,New,District,False,False,"301,376","279,047"
163,Kevin Wilson,L,1.5,New,District,False,False,"5,128","3,417"
164,Brian Higgins,D,69.8,New,District,True,True,"1,124,168","984,106"
165,Chris Jacobs,R,0,New,District,False,True,"2,147,101","2,084,271"
166,Nate McMurray,D,0,New,District,False,False,"1,150,058","1,097,111"
167,Duane Whitmer,L,0,New,District,False,False,"36,056","36,056"
168,Chris Jacobs,R,59.7,New,District,True,True,"2,147,101","2,084,271"
169,Nate McMurray,D,39.0,New,District,False,False,"1,150,058","1,097,111"
170,Duane Whitmer,L,1.3,New,District,False,False,"36,056","36,056"
171,Thom Tillis,R,48.7,North,Senate,True,True,"25,327,590","24,979,096"
172,Cal Cunningham,D,46.9,North,Senate,False,False,"51,249,732","51,076,028"
173,G K,D,54.2,North,District,True,True,"1,032,869","880,420"
174,Sandy Smith,R,45.8,North,District,False,False,"1,458,375","1,437,805"
175,Deborah Ross,D,63.0,North,District,False,True,"2,268,381","1,816,923"
176,Alan Swain,R,34.8,North,District,False,False,"119,664","119,435"
177,Japheth Matemu,L,2.2,North,District,False,False,625,54
178,Greg Murphy,R,0,North,District,False,True,"1,767,790","1,505,559"
179,Allen Thomas,D,0,North,District,False,False,"612,046","611,895"
180,Greg Murphy,R,63.4,North,District,True,True,"1,767,790","1,505,559"
181,David Price,D,67.3,North,District,True,True,"1,161,738","1,014,872"
182,Virginia Foxx,R,66.9,North,District,True,True,"1,858,388","1,944,629"
183,David Wilson,D,31.1,North,District,False,False,"61,596","60,668"
184,Kathy Manning,D,62.3,North,District,False,True,"2,002,284","1,695,596"
185,Lee Haywood,R,37.7,North,District,False,False,"73,878","58,342"
186,Jennyfer Bucardo,I,0,North,District,False,False,750,759
187,David Rouzer,R,60.3,North,District,True,True,"1,628,458","1,038,883"
188,Christopher Ward,D,39.6,North,District,False,False,"16,260","4,119"
189,Richard Hudson,R,53.3,North,District,True,True,"4,135,872","4,359,009"
190,Patricia Timmons-Goodson,D,46.7,North,District,False,False,"3,855,743","3,852,668"
191,Dan McCready,D,0,North,District,False,False,"7,114,557","7,329,299"
192,Dan Bishop,R,0,North,District,False,True,"4,090,260","4,029,864"
193,Allen Smith,3,0,North,District,False,False,"6,010","4,141"
194,Dan Bishop,R,55.6,North,District,True,True,"4,090,260","4,029,864"
195,Cynthia Wallace,D,44.4,North,District,False,False,"811,609","794,300"
196,Patrick McHenry,R,68.9,North,District,True,True,"2,780,234","2,339,363"
197,David Parker,D,31.1,North,District,False,False,"30,555","30,555"
198,Madison Cawthorn,R,54.5,North,District,False,True,"4,478,970","4,366,783"
199,Moe Davis,D,42.3,North,District,False,False,"2,251,413","2,148,121"
200,Alma Adams,D,100.0,North,District,True,True,"824,124","651,883"
201,Bill Brewster,R,0,North,District,False,False,"21,950","16,763"
202,Ted Budd,R,68.2,North,District,True,True,"2,294,174","1,293,414"
203,Scott Huffman,D,31.8,North,District,False,False,"193,334","189,967"
204,Kelly Armstrong,R,69.0,North,District,True,True,"1,269,346","1,080,105"
205,Zach Raknerud,D,27.6,North,District,False,False,"28,047","26,029"
206,Steve Chabot,R,51.8,Ohio,01,True,True,"3,177,647","2,861,464"
207,Kate Schroder,D,44.7,Ohio,01,False,False,"4,040,303","4,039,798"
208,Kevin Kahn,L,3.6,Ohio,01,False,False,"12,085","8,398"
209,Brad Wenstrup,R,61.1,Ohio,02,True,True,"1,794,354","1,757,078"
210,Jaime Castle,D,38.9,Ohio,02,False,False,"284,197","271,471"
211,Joyce Beatty,D,70.8,Ohio,03,True,True,"2,237,887","2,540,687"
212,Nicholas Moss,I,0.0,Ohio,03,False,False,"1,258","1,248"
213,Jim Jordan,R,67.9,Ohio,04,True,True,"18,313,823","12,945,651"
214,Chris Gibbs,I,0,Ohio,04,False,False,"65,807","65,807"
215,Bob Latta,R,68.0,Ohio,05,True,True,"1,580,952","1,477,090"
216,Nick Rubando,D,32.0,Ohio,05,False,False,"249,319","247,423"
217,Bill Johnson,R,74.4,Ohio,06,True,True,"1,866,123","1,853,361"
218,Shawna Roberts,D,25.6,Ohio,06,False,False,262,574
